                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6053,                 10.945,                      0,                0.83817,                 1.1004,                0.99287,                      1,                  0.995,                0.91106,                      0,                      0,                      0,                      0,                0.47713,                 11.366,                      0,                0.40744,                 1.0607,                0.00012,                0.00012,                0.00012
                      2,                0.47134,                 10.894,                      0,                0.40015,                0.99632,                      1,                0.97911,                  0.995,                0.76607,                      0,                      0,                      0,                      0,                0.78269,                 11.431,                      0,                0.85722,                  1.416,             0.00025485,             0.00025485,             0.00025485
                      3,                0.55062,                 10.651,                      0,                0.45625,                 1.0171,                      1,                0.58809,                0.83419,                0.65373,                      0,                      0,                      0,                      0,                 0.9184,                 11.329,                      0,                  1.312,                 1.6605,             0.00038416,             0.00038416,             0.00038416
                      4,                0.44415,                  10.49,                      0,                0.39688,                0.97119,                0.74496,                    0.8,                0.89013,                0.58592,                      0,                      0,                      0,                      0,                0.98664,                 11.198,                      0,                 1.0635,                 1.6773,             0.00050792,             0.00050792,             0.00050792
                      5,                0.53669,                 9.8186,                      0,                0.43678,                  1.029,                0.79499,                0.77745,                0.83196,                0.56562,                      0,                      0,                      0,                      0,                 1.0939,                 11.249,                      0,                0.95443,                 1.9088,             0.00062614,             0.00062614,             0.00062614
                      6,                0.51936,                 9.8253,                      0,                0.41474,                 0.9786,                  0.769,                0.66839,                0.74922,                0.52363,                      0,                      0,                      0,                      0,                 1.2557,                 11.288,                      0,                 1.1629,                 2.2715,             0.00073882,             0.00073882,             0.00073882
                      7,                0.52522,                 9.7953,                      0,                0.43107,                 0.9739,                0.87096,                    0.8,                0.86693,                0.48093,                      0,                      0,                      0,                      0,                 1.5309,                 11.139,                      0,                 2.3567,                 2.3857,             0.00084595,             0.00084595,             0.00084595
                      8,                0.53458,                 9.5527,                      0,                0.40341,                0.98298,                0.75569,                    0.7,                0.79488,                0.49177,                      0,                      0,                      0,                      0,                 1.3619,                 11.019,                      0,                 1.7868,                 2.1604,             0.00094754,             0.00094754,             0.00094754
                      9,                0.53304,                  9.145,                      0,                0.44033,                0.97478,                      1,                0.47225,                0.65422,                0.42012,                      0,                      0,                      0,                      0,                 1.2876,                 11.018,                      0,                 2.4429,                 2.1225,              0.0010436,              0.0010436,              0.0010436
                     10,                0.51582,                 9.3426,                      0,                0.38978,                0.99552,                0.56009,                    0.9,                 0.7729,                 0.5017,                      0,                      0,                      0,                      0,                 1.2993,                 10.994,                      0,                 2.9687,                 2.2691,              0.0011341,              0.0011341,              0.0011341
